product_category,orders,gmv,avg_review_score,avg_delivery_days,avg_delivery_delay_days
office_furniture,1254,335211.35999999975,3.5133010882708584,20.78657074340527,-11.845923261390888
fixed_telephony,212,59816.53999999999,3.757936507936508,12.674509803921568,-14.717647058823529
fashion_male_clothing,106,12514.950000000004,3.758064516129033,12.896,-12.712
audio,348,56255.31999999999,3.8365921787709496,13.267955801104971,-10.149171270718233
home_confort,392,66438.21999999996,3.8548009367681497,13.461538461538462,-9.811188811188812
bed_bath_table,9272,1225209.2600000026,3.923968239313083,12.750479320734046,-11.656167260111385
furniture_living_room,414,85045.07000000005,3.934693877551021,13.775757575757575,-11.8
Unknown,1392,197695.69000000015,3.938688524590164,12.736499674690956,-11.406636304489265
furniture_decor,6307,880329.9199999993,3.953774752475248,12.835171568627452,-12.39950980392157
home_construction,483,95022.37000000004,3.95777027027027,13.15268456375839,-11.557046979865772
construction_tools_safety,159,42504.02,3.967032967032967,11.85792349726776,-12.387978142076502
computers_accessories,6530,1032723.7699999984,3.986461619348055,13.153604605521393,-12.419861311003531
telephony,4093,379202.6200000052,3.9943233424159854,12.796613995485329,-11.382618510158014
kitchen_dining_laundry_garden_furniture,241,57072.969999999994,4.033088235294118,11.795620437956204,-12.430656934306567
fashion_underwear_beach,117,11160.02,4.0476190476190474,13.606299212598426,-10.929133858267717
air_conditioning,246,59854.55000000001,4.052816901408451,12.193771626297575,-14.16955017301038
electronics,2517,200723.09000000072,4.067158671586716,12.808721143275925,-11.139978013924514
christmas_supplies,125,11928.750000000004,4.06993006993007,15.673333333333334,-12.053333333333333
watches_gifts,5495,1264333.1200000003,4.071711092003439,12.588526549428035,-11.920437083831311
market_place,274,33114.38000000001,4.072607260726072,12.124590163934426,-14.62295081967213
baby,2809,466727.64999999857,4.0782358905035485,12.45137491616365,-11.646545942320593
art,195,27485.53,4.082051282051282,11.304568527918782,-12.776649746192891
construction_tools_lights,242,47447.139999999985,4.082191780821918,9.67109634551495,-11.222591362126243
garden_tools,3448,567145.6800000032,4.084316037735849,13.661668228678538,-11.975866916588569
agro_industry_and_commerce,177,76203.3,4.087378640776699,11.58252427184466,-11.46116504854369
construction_tools_construction,736,162382.00999999972,4.090010976948409,10.641921397379912,-11.62117903930131
signaling_and_security,138,27792.590000000033,4.091836734693878,10.431472081218274,-12.705583756345176
housewares,5743,758392.2500000006,4.107904085257549,10.86784400294334,-12.300220750551876
auto,3810,669454.7500000002,4.116003903391071,12.155351534187002,-11.437062092292823
costruction_tools_garden,190,30283.939999999995,4.116379310344827,11.844827586206897,-13.54310344827586
drinks,287,26971.109999999997,4.119113573407202,10.34349030470914,-11.529085872576175
tablets_printing_image,79,8754.609999999997,4.1234567901234565,12.963855421686748,-12.771084337349398
industry_commerce_and_business,232,46079.33999999995,4.125954198473282,10.651515151515152,-12.545454545454543
consoles_games,1018,167097.73000000062,4.13855421686747,13.535353535353536,-11.679522497704315
home_appliances_2,227,118208.52000000008,4.156521739130435,13.86147186147186,-12.454545454545457
sports_leisure,7530,1118256.9099999983,4.165492957746479,12.07864768683274,-12.009489916963227
dvds_blu_ray,56,5769.84,4.180327868852459,12.852459016393444,-13.36065573770492
health_beauty,8647,1412089.5300000056,4.189729135644899,11.913576333861595,-11.969149498151085
fashion_bags_accessories,1820,179888.2899999999,4.1936708860759495,11.025692695214106,-13.33551637279597
cool_stuff,3559,691680.8899999999,4.194903767958796,12.310112963959115,-12.492469069392149
toys,3804,547061.0599999998,4.208927231807952,11.633159592951104,-12.095805410771904
pet_shop,1688,250614.20000000013,4.216710182767624,11.165280665280664,-12.536382536382536
computers,177,228349.76000000007,4.219387755102041,13.43718592964824,-11.57788944723618
perfumery,3086,443171.63000000344,4.219735656353259,11.702095808383234,-12.410179640718562
musical_instruments,611,202187.12000000017,4.221705426356589,12.929339477726575,-11.483870967741936
home_appliances,747,93301.77999999994,4.222148246782068,11.221485411140584,-12.652519893899203
small_appliances,609,198108.46999999983,4.225114854517611,10.7370820668693,-13.876899696048632
stationery,2264,269575.05000000127,4.245818033455732,12.671532846715328,-12.038929440389294
furniture_bedroom,90,23379.220000000012,4.252427184466019,13.1747572815534,-13.514563106796116
food,441,35794.67999999994,4.262833675564682,9.496993987975952,-9.867735470941884
cine_photo,63,7902.18,4.285714285714286,10.5,-11.32857142857143
fashion_shoes,235,27814.82999999999,4.290513833992095,15.396887159533074,-14.832684824902724
luggage_accessories,1019,168778.11999999988,4.352283317800559,10.617455896007428,-12.619312906220983
food_drink,221,19337.76999999999,4.366171003717472,10.806691449814126,-11.613382899628252
books_technical,256,22901.06999999998,4.3893129770992365,10.577946768060835,-11.307984790874524
small_appliances_home_oven_and_coffee,72,49245.90000000001,4.438356164383562,9.794520547945206,-11.58904109589041
costruction_tools_tools,97,17934.169999999995,4.444444444444445,12.067961165048544,-12.20388349514563
books_imported,50,5150.940000000002,4.508771929824562,7.964912280701754,-11.192982456140353
books_general_interest,496,54182.53999999999,4.512195121951219,11.548507462686567,-12.152985074626866
