customer_state,orders,gmv,avg_review_score,avg_delivery_days,avg_delivery_delay_days
MA,717,147803.54999999996,3.7594458438287153,21.59,-9.90625
AL,397,94172.49000000003,3.825471698113207,24.447306791569087,-8.735362997658079
PA,946,212023.5699999999,3.838491295938105,23.702087286527515,-14.250474383301707
BA,3256,591137.8100000013,3.861331871745684,19.19250610915015,-10.982622861797449
CE,1279,266436.77,3.872445384073291,20.921458625525947,-11.103786816269285
RJ,12350,2055401.5699999984,3.874218563588642,15.07417096797002,-12.009898889910202
RR,41,9039.52,3.891304347826087,28.17391304347826,-18.32608695652174
SE,335,70289.13000000003,3.8981233243967823,21.418666666666667,-10.002666666666666
PI,476,105178.19,3.95945945945946,19.317399617590823,-11.52772466539197
MT,886,181224.41999999975,4.007309941520468,17.907425265188042,-14.571841851494696
ES,1995,317657.93000000017,4.014813126709207,15.587415730337078,-10.64629213483146
PE,1593,308972.05000000034,4.02025462962963,18.22451317296678,-13.450171821305842
PB,517,137838.54999999984,4.037931034482758,20.546075085324233,-13.03754266211604
GO,1957,334212.3500000007,4.0394736842105265,15.335529205094424,-12.294246815985948
SC,3546,595127.7800000014,4.047255722372631,14.94630217232121,-11.568464730290456
DF,2080,346123.3499999999,4.060094097519247,12.89384288747346,-12.200424628450106
MS,701,134367.54999999993,4.063658838071693,15.45992601726264,-11.229346485819976
RO,243,56966.00000000003,4.073529411764706,19.655677655677657,-20.04029304029304
RS,5345,861472.7899999965,4.092313982011447,15.134518180335888,-14.134192075656284
AM,145,27585.47,4.111111111111111,26.33742331288343,-19.932515337423315
RN,474,100714.7800000001,4.112934362934363,19.272552783109404,-13.952015355086372
MG,11354,1818891.6700000137,4.121472009979729,11.919324868380304,-13.34461133477857
AC,80,19575.330000000005,4.131868131868132,20.68131868131868,-20.978021978021975
PR,4923,781708.7999999981,4.146159317211949,11.893078420959462,-13.486103735174368
TO,274,60007.36999999998,4.155339805825243,17.39677419354839,-12.338709677419354
SP,40501,5769703.149999883,4.178092824445118,8.662324239357464,-11.20645550268082
AP,67,16141.81,4.2625,28.22222222222222,-18.395061728395063
